track name,artist name,artist popularity,artist genres,album name,track popularity,audio features
Unholy (feat. Kim Petras),Sam Smith,88,"['dance pop', 'pop', 'uk pop']",Unholy (feat. Kim Petras),100,"{'danceability': 0.714, 'energy': 0.472, 'key': 2, 'loudness': -7.375, 'mode': 1, 'speechiness': 0.0864, 'acousticness': 0.013, 'instrumentalness': 4.51e-06, 'liveness': 0.266, 'valence': 0.238, 'tempo': 131.121, 'type': 'audio_features', 'id': '3nqQXoyQOWXiESFLlDF1hG', 'uri': 'spotify:track:3nqQXoyQOWXiESFLlDF1hG', 'track_href': 'https://api.spotify.com/v1/tracks/3nqQXoyQOWXiESFLlDF1hG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3nqQXoyQOWXiESFLlDF1hG', 'duration_ms': 156943, 'time_signature': 4}"
Anti-Hero,Taylor Swift,100,['pop'],Midnights,97,"{'danceability': 0.637, 'energy': 0.643, 'key': 4, 'loudness': -6.571, 'mode': 1, 'speechiness': 0.0519, 'acousticness': 0.13, 'instrumentalness': 1.8e-06, 'liveness': 0.142, 'valence': 0.533, 'tempo': 97.008, 'type': 'audio_features', 'id': '0V3wPSX9ygBnCm8psDIegu', 'uri': 'spotify:track:0V3wPSX9ygBnCm8psDIegu', 'track_href': 'https://api.spotify.com/v1/tracks/0V3wPSX9ygBnCm8psDIegu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0V3wPSX9ygBnCm8psDIegu', 'duration_ms': 200690, 'time_signature': 4}"
Rich Flex,Drake,97,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",Her Loss,95,"{'danceability': 0.561, 'energy': 0.52, 'key': 11, 'loudness': -9.342, 'mode': 0, 'speechiness': 0.244, 'acousticness': 0.0503, 'instrumentalness': 1.86e-06, 'liveness': 0.355, 'valence': 0.424, 'tempo': 153.15, 'type': 'audio_features', 'id': '1bDbXMyjaUIooNwFE9wn0N', 'uri': 'spotify:track:1bDbXMyjaUIooNwFE9wn0N', 'track_href': 'https://api.spotify.com/v1/tracks/1bDbXMyjaUIooNwFE9wn0N', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1bDbXMyjaUIooNwFE9wn0N', 'duration_ms': 239360, 'time_signature': 3}"
La Bachata,Manuel Turizo,84,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",La Bachata,97,"{'danceability': 0.835, 'energy': 0.679, 'key': 7, 'loudness': -5.329, 'mode': 0, 'speechiness': 0.0364, 'acousticness': 0.583, 'instrumentalness': 1.98e-06, 'liveness': 0.218, 'valence': 0.85, 'tempo': 124.98, 'type': 'audio_features', 'id': '5ww2BF9slyYgNOk37BlC4u', 'uri': 'spotify:track:5ww2BF9slyYgNOk37BlC4u', 'track_href': 'https://api.spotify.com/v1/tracks/5ww2BF9slyYgNOk37BlC4u', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5ww2BF9slyYgNOk37BlC4u', 'duration_ms': 162638, 'time_signature': 4}"
I'm Good (Blue),David Guetta,88,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",I'm Good (Blue),97,"{'danceability': 0.561, 'energy': 0.965, 'key': 7, 'loudness': -3.673, 'mode': 0, 'speechiness': 0.0343, 'acousticness': 0.00383, 'instrumentalness': 7.07e-06, 'liveness': 0.371, 'valence': 0.304, 'tempo': 128.04, 'type': 'audio_features', 'id': '4uUG5RXrOk84mYEfFvj3cK', 'uri': 'spotify:track:4uUG5RXrOk84mYEfFvj3cK', 'track_href': 'https://api.spotify.com/v1/tracks/4uUG5RXrOk84mYEfFvj3cK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4uUG5RXrOk84mYEfFvj3cK', 'duration_ms': 175238, 'time_signature': 4}"
As It Was,Harry Styles,89,['pop'],Harry's House,91,"{'danceability': 0.52, 'energy': 0.731, 'key': 6, 'loudness': -5.338, 'mode': 0, 'speechiness': 0.0557, 'acousticness': 0.342, 'instrumentalness': 0.00101, 'liveness': 0.311, 'valence': 0.662, 'tempo': 173.93, 'type': 'audio_features', 'id': '4Dvkj6JhhA12EX05fT7y2e', 'uri': 'spotify:track:4Dvkj6JhhA12EX05fT7y2e', 'track_href': 'https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e', 'duration_ms': 167303, 'time_signature': 4}"
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,85,"['argentine hip hop', 'pop venezolano', 'trap argentino']","Quevedo: Bzrp Music Sessions, Vol. 52",97,"{'danceability': 0.621, 'energy': 0.782, 'key': 2, 'loudness': -5.548, 'mode': 1, 'speechiness': 0.044, 'acousticness': 0.0125, 'instrumentalness': 0.033, 'liveness': 0.23, 'valence': 0.55, 'tempo': 128.033, 'type': 'audio_features', 'id': '2tTmW7RDtMQtBk7m2rYeSw', 'uri': 'spotify:track:2tTmW7RDtMQtBk7m2rYeSw', 'track_href': 'https://api.spotify.com/v1/tracks/2tTmW7RDtMQtBk7m2rYeSw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2tTmW7RDtMQtBk7m2rYeSw', 'duration_ms': 198938, 'time_signature': 4}"
Made You Look,Meghan Trainor,82,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",Takin' It Back,93,"{'danceability': 0.838, 'energy': 0.525, 'key': 10, 'loudness': -3.562, 'mode': 1, 'speechiness': 0.0665, 'acousticness': 0.345, 'instrumentalness': 1.92e-06, 'liveness': 0.0771, 'valence': 0.884, 'tempo': 144.981, 'type': 'audio_features', 'id': '0QHEIqNKsMoOY5urbzN48u', 'uri': 'spotify:track:0QHEIqNKsMoOY5urbzN48u', 'track_href': 'https://api.spotify.com/v1/tracks/0QHEIqNKsMoOY5urbzN48u', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0QHEIqNKsMoOY5urbzN48u', 'duration_ms': 134256, 'time_signature': 4}"
Under The Influence,Chris Brown,87,"['dance pop', 'pop', 'r&b']",Indigo (Extended),95,"{'danceability': 0.733, 'energy': 0.69, 'key': 9, 'loudness': -5.529, 'mode': 0, 'speechiness': 0.0427, 'acousticness': 0.0635, 'instrumentalness': 1.18e-06, 'liveness': 0.105, 'valence': 0.31, 'tempo': 116.992, 'type': 'audio_features', 'id': '5IgjP7X4th6nMNDh4akUHb', 'uri': 'spotify:track:5IgjP7X4th6nMNDh4akUHb', 'track_href': 'https://api.spotify.com/v1/tracks/5IgjP7X4th6nMNDh4akUHb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5IgjP7X4th6nMNDh4akUHb', 'duration_ms': 184613, 'time_signature': 4}"
Me Porto Bonito,Bad Bunny,98,"['reggaeton', 'trap latino']",Un Verano Sin Ti,95,"{'danceability': 0.911, 'energy': 0.712, 'key': 1, 'loudness': -5.105, 'mode': 0, 'speechiness': 0.0817, 'acousticness': 0.0901, 'instrumentalness': 2.68e-05, 'liveness': 0.0933, 'valence': 0.425, 'tempo': 92.005, 'type': 'audio_features', 'id': '6Sq7ltF9Qa7SNFBsV5Cogx', 'uri': 'spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx', 'track_href': 'https://api.spotify.com/v1/tracks/6Sq7ltF9Qa7SNFBsV5Cogx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Sq7ltF9Qa7SNFBsV5Cogx', 'duration_ms': 178567, 'time_signature': 4}"
